Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,383,7411,2/12/2021,Susana Cabrera,Sacatepequez,Sumpango,0-7158-9532-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,470,6055,5/4/2021,Marcela Acosta,Huehuetenango,San Juan Atitan,0-07-037827-4
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,609,2000,8/27/2021,Ruth Soto,Izabal,Livingston,1-4268-9355-8
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,501,7849,12/16/2021,Monica Martinez,Baja Verapaz,San Jeronimo,0-608-86810-8
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,890,1871,3/9/2021,Jorge Castillo,Baja Verapaz,Rabinal,1-311-09169-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,116,2634,10/8/2021,Aurora Silva,Santa Rosa,Oratorio,0-365-99345-X
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,170,4112,4/24/2021,Pedro Cortes,Chiquimula,Camotan,1-74813-381-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,377,4319,3/15/2021,Lucia Espinoza,Alta Verapaz,Tucuru,1-344-50294-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,902,6771,4/17/2021,Luis Guerrero,Jutiapa,Jutiapa,1-969909-18-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,619,5173,9/13/2021,Ana Alvarez,Jutiapa,Jutiapa,0-483-03414-2
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,870,5251,8/18/2021,Hugo Campos,Sacatepequez,Pastores,1-894111-29-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,450,4571,3/27/2021,Sandra Perez,Santa Rosa,Oratorio,1-164-66370-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,628,3169,3/21/2021,Mariana Rodriguez,Chimaltenango,Comalapa,0-607-64129-0
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,799,6689,5/16/2021,Tomas Sanchez,Jalapa,San Pedro Pinula,0-387-92166-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,366,5486,10/17/2021,Miguel Mendoza,Santa Rosa,Oratorio,0-539-64240-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,125,4717,8/15/2021,Marcela Rojas,Jutiapa,El Progreso,0-614-12952-4
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,380,7001,4/3/2021,Pilar Ponce,Chiquimula,San Jose La Arada,0-603-59012-8
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,314,7669,1/9/2021,Rosario Reyes,Sacatepequez,Pastores,0-04-671292-5
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,164,4985,7/17/2021,Claudia Cortes,Jutiapa,Jutiapa,1-9789-4366-0
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,222,1298,12/11/2021,Tomas Ibarra,Chiquimula,Chiquimula,1-279-47156-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,527,2142,4/11/2021,Ricardo Rojas,Sacatepequez,Pastores,0-08-083382-9
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,942,2893,10/11/2021,Eduardo Diaz,Jutiapa,Agua Blanca,0-9715967-1-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,307,1491,2/14/2021,Yolanda Soto,Guatemala,San Miguel Petapa,1-184-22762-4
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,503,2811,1/22/2021,Vicente Medina,Quiche,Santo Tomas Chichicastenango,1-9742-1609-8
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,624,6232,6/9/2021,Gabriel Morales,Quiche,Uspantan,1-891557-86-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,460,3993,10/30/2021,Eduardo Sanchez,Alta Verapaz,Coban,0-245-88136-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,270,4404,6/21/2021,Cristian Velasquez,El Progreso,Guastatoya,1-317-37693-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,145,5732,1/18/2021,Gabriela Cabrera,Retalhuleu,Retalhuleu,1-83156-403-3
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,202,2897,7/10/2021,Daniel Rivera,El Progreso,San Antonio La Paz,0-278-74633-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,409,1378,7/28/2021,Jose Morales,Chimaltenango,Patzun,0-15-809397-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,918,3091,2/18/2021,Ana Lopez,San Marcos,Concepcion Tutuapa,1-71413-519-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,742,6884,8/10/2021,Rafael Ramos,Santa Rosa,Barberena,1-06-941560-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,772,540,10/3/2021,Ricardo Soto,Suchitepequez,San Antonio Suchitepequez,1-84561-668-5
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,220,5088,9/18/2021,Jose Velasquez,Huehuetenango,San Pedro Necta,0-231-87125-2
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,617,2359,3/22/2021,Marcela Silva,Santa Rosa,San Juan Tecuaco,1-237-94973-4
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,749,7182,2/11/2021,Felipe Romero,Quetzaltenango,Salcaja,0-529-50846-X
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,289,4860,6/22/2021,Alfredo Martinez,Santa Rosa,Oratorio,0-19-197248-7
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,608,3899,12/30/2021,Ana Guzman,Chiquimula,San Jose La Arada,1-914542-02-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,445,1557,9/5/2021,Andrea Ibarra,Chimaltenango,Chimaltenango,1-80511-332-1
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,101,6910,12/1/2021,Luis Ramirez,Santa Rosa,Barberena,0-9783165-9-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,601,7804,5/14/2021,Luisa Ramirez,Huehuetenango,San Juan Atitan,1-102-51819-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,529,5921,12/17/2021,Andrea Diaz,Jutiapa,El Progreso,0-89830-784-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,818,6762,8/4/2021,Cecilia Medina,Totonicapan,San Cristobal Totonicapan,0-8440-4188-2
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,253,7107,5/11/2021,Cecilia Medina,Baja Verapaz,Cubulco,0-411-36006-X
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,432,2856,3/14/2021,Alfredo Garcia,Jalapa,San Luis Jilotepeque,0-431-58660-8
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,523,6524,5/30/2021,Josefa Chavez,Baja Verapaz,Rabinal,0-85464-100-9
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,522,5091,9/28/2021,Salvador Rodriguez,Retalhuleu,San Felipe,1-70086-830-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,711,6009,3/26/2021,Juana Gonzalez,Izabal,Los Amates,1-01-523344-9
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,154,2027,9/8/2021,Javier Ortiz,Chimaltenango,San Martin Jilotepeque,1-72911-196-3
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,462,6133,7/9/2021,Gabriel Silva,Huehuetenango,San Juan Atitan,1-109-98060-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,179,2223,11/12/2021,Beatriz Sanchez,Chiquimula,Chiquimula,0-85997-003-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,373,3566,8/30/2021,Mariana Molina,Quiche,Uspantan,0-7614-0639-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,342,6795,5/2/2021,Marcos Acosta,Zacapa,Zacapa,0-587-51492-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,414,5943,10/4/2021,Ramon Perez,Guatemala,Guatemala City,1-960455-50-8
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,285,1829,11/24/2021,Vicente Ramirez,Chimaltenango,Comalapa,0-666-78156-7
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,994,5330,3/21/2021,Lucia Cabrera,Solola,San Pedro La Laguna,0-426-28077-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,342,7364,8/6/2021,Vicente Cruz,Santa Rosa,San Juan Tecuaco,1-71206-901-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,614,1024,12/11/2021,Juan Ramirez,Peten,San Benito,1-925272-46-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,961,2431,6/3/2021,Salvador Mendoza,Jalapa,San Pedro Pinula,1-63389-772-9
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,728,7181,7/12/2021,Jose Garcia,Quiche,Nebaj,1-00-251446-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,488,1617,5/19/2021,Alonso Guzman,Solola,San Pedro La Laguna,0-87407-081-3
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,935,7399,4/22/2021,Marcelo Ramos,Escuintla,Tiquisate,0-477-16856-6
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,978,3233,11/10/2021,Felipe Leon,Izabal,Los Amates,0-251-21239-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,123,1440,5/2/2021,Esperanza Ramos,Huehuetenango,Colotenango,0-245-03407-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,413,2432,8/26/2021,Eduardo Acosta,San Marcos,San Marcos,1-63632-365-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,997,7580,1/21/2021,Mariana Perez,Escuintla,Palin,1-313-68403-1
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,367,3626,7/20/2021,Pilar Jimenez,Jutiapa,Asuncion Mita,1-84589-804-4
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,512,5349,8/20/2021,Samuel Cabrera,Izabal,Livingston,1-01-471492-3
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,728,1707,11/21/2021,Pablo Sanchez,Solola,Panajachel,1-5476-2618-6
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,909,7287,1/2/2021,Ramon Ortiz,Chiquimula,Esquipulas,0-905578-52-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,744,866,4/24/2021,Cecilia Vega,El Progreso,San Antonio La Paz,0-935803-37-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,571,6343,7/3/2021,Emilio Mendoza,Huehuetenango,La Democracia,0-422-15327-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,324,4485,5/7/2021,Juan Rivera,Jutiapa,El Progreso,0-08-108545-1
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,284,4858,2/20/2021,Lucia Mendoza,Quiche,Santo Tomas Chichicastenango,1-84598-102-2
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,660,3407,3/26/2021,Ines Molina,Quetzaltenango,Salcaja,0-87667-110-5
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,670,3993,8/13/2021,Ruth Chavez,El Progreso,Sanarate,0-332-52257-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,955,3800,7/2/2021,Cristian Flores,Escuintla,Escuintla,0-493-85691-9
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,569,1157,10/2/2021,Ines Garcia,Peten,Sayaxche,0-426-29484-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,803,4980,4/13/2021,Pilar Alvarez,Quetzaltenango,Salcaja,1-72377-167-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,529,4113,11/11/2021,Ernesto Alvarez,Chimaltenango,Tecpan Guatemala,1-4316-3041-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,640,4395,7/8/2021,Adrian Ortiz,Solola,San Juan La Laguna,1-212-17043-1
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,669,6280,1/4/2021,Maria Salazar,Retalhuleu,San Sebastian,1-881876-62-4
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,555,3481,7/21/2021,Alejandra Ibarra,Zacapa,Rio Hondo,0-274-11897-1
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,310,1750,10/15/2021,Francisco Gonzalez,Jutiapa,Asuncion Mita,0-11-183651-4
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,350,5854,8/17/2021,Beatriz Paredes,Huehuetenango,Colotenango,1-4645-6477-9
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,857,5879,9/5/2021,Sofia Gomez,Baja Verapaz,Rabinal,1-122-14199-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,666,4986,4/12/2021,Carmen Ortiz,Totonicapan,San Andres Xecul,1-74473-763-0
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,276,3041,12/8/2021,Valeria Martinez,Huehuetenango,Colotenango,1-77252-543-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,727,6191,11/16/2021,Pedro Chavez,Solola,San Pedro La Laguna,0-693-16762-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,481,2801,3/22/2021,Andrea Ramirez,Izabal,Los Amates,0-7943-7330-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,207,3855,2/25/2021,Gabriela Vazquez,Chimaltenango,Patzun,1-994564-42-3
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,988,6434,4/19/2021,Olga Velasquez,Retalhuleu,Retalhuleu,1-71679-635-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,978,5750,9/3/2021,Marcela Morales,Chiquimula,Concepcion Las Minas,1-7387022-9-4
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,564,5248,1/5/2021,Vicente Ortiz,Izabal,Livingston,0-394-95154-9
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,338,2811,3/6/2021,Simon Salazar,Escuintla,Tiquisate,1-4097-5236-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,781,1315,8/10/2021,Beatriz Hernandez,Santa Rosa,Cuilapa,1-85217-279-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,254,2673,3/2/2021,Claudia Soto,Quiche,Santo Tomas Chichicastenango,1-143-41813-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,269,4630,12/26/2021,Beatriz Cortes,Retalhuleu,Retalhuleu,0-331-50649-1
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,127,3287,3/3/2021,Julia Hernandez,Quiche,Santo Tomas Chichicastenango,0-903118-66-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,256,1147,6/4/2021,Vicente Campos,Izabal,Puerto Barrios,1-79751-290-0
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,577,7238,6/10/2021,Sebastian Diaz,Sacatepequez,Sumpango,0-11-328930-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,999,3413,2/18/2021,Jorge Espinoza,Chimaltenango,Comalapa,0-04-503453-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,260,6410,10/27/2021,Pedro Gomez,Jalapa,Mataquescuintla,0-427-07115-1
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,893,2181,7/12/2021,Juan Vega,Guatemala,Santa Catarina Pinula,0-17-236667-4
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,430,7486,12/6/2021,Josefa Lopez,Zacapa,Teculutan,0-7430-1656-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,363,5458,5/10/2021,Esperanza Alvarez,Solola,San Lucas Toliman,1-4356-2066-6
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,990,1054,7/18/2021,Alfredo Salazar,Peten,Sayaxche,0-321-05045-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,296,3670,7/23/2021,Sergio Ramirez,Zacapa,Teculutan,1-234-46052-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,648,1230,8/8/2021,Luisa Flores,El Progreso,Morazan,0-7211-8830-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,944,5401,4/17/2021,Gustavo Guerrero,Chiquimula,San Jose La Arada,1-82294-134-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,872,5849,5/2/2021,Laura Acosta,Santa Rosa,Oratorio,0-7034-8038-3
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,978,6412,8/5/2021,Estela Jimenez,Baja Verapaz,San Jeronimo,1-84844-574-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,550,7956,1/15/2021,Pablo Castro,Sacatepequez,Antigua Guatemala,0-86774-313-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,165,2894,3/24/2021,Manuel Aguilar,Jalapa,Jalapa,1-926396-26-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,494,6570,9/21/2021,Paola Castillo,Huehuetenango,Huehuetenango,0-16-814562-6
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,136,2019,10/10/2021,Olga Rivera,Baja Verapaz,Salama,0-266-17476-0
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,751,6685,3/23/2021,Javier Castro,Quiche,Santa Cruz del Quiche,1-891095-52-8
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,755,755,7/31/2021,Isabel Guerrero,Sacatepequez,Jocotenango,0-06-128737-7
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,820,5588,1/22/2021,Sandra Mendoza,Solola,San Lucas Toliman,1-70885-629-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,116,4156,8/10/2021,Antonio Silva,Retalhuleu,Retalhuleu,0-7453-0872-4
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,462,6322,11/11/2021,Josefa Cabrera,Totonicapan,Totonicapan,1-879110-32-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,648,3151,8/2/2021,Daniel Fernandez,Retalhuleu,San Sebastian,1-329-93645-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,471,7400,12/18/2021,Aurora Vargas,Baja Verapaz,San Jeronimo,1-72716-928-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,419,3662,9/3/2021,Arturo Ortiz,Jalapa,Jalapa,0-265-63096-7
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,159,4003,8/6/2021,Margarita Salazar,Chiquimula,San Jose La Arada,0-437-82378-4
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,223,3586,4/2/2021,Luis Jimenez,Guatemala,Mixco,1-180-18643-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,988,5161,2/6/2021,Carlos Ortiz,Santa Rosa,Barberena,1-04-589873-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,200,2600,10/22/2021,Lorena Ramirez,Jutiapa,Asuncion Mita,1-102-73316-4
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,860,5911,4/8/2021,Ana Guzman,Retalhuleu,Champerico,1-5131-4923-7
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,362,7119,1/30/2021,Alfredo Garcia,Solola,San Pedro La Laguna,1-323-51967-X
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,344,4836,10/23/2021,Sergio Campos,Santa Rosa,Barberena,1-57912-357-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,737,3066,4/14/2021,Arturo Velasquez,Guatemala,Guatemala City,0-9664350-3-6
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,769,904,5/28/2021,Andrea Espinoza,Baja Verapaz,Salama,0-537-60674-2
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,210,5213,1/23/2021,Julio Silva,Retalhuleu,San Felipe,0-358-70385-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,118,505,3/11/2021,Miguel Velasquez,Escuintla,La Gomera,0-87706-040-1
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,898,1376,3/28/2021,Marcela Jimenez,Jalapa,San Pedro Pinula,1-291-60807-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,950,6938,1/15/2021,Cecilia Reyes,Retalhuleu,Champerico,1-59408-714-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,521,5619,11/2/2021,Rosario Molina,Huehuetenango,La Democracia,0-341-97647-4
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,675,4064,3/12/2021,Miguel Ortiz,Alta Verapaz,Coban,0-597-57637-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,740,3268,9/10/2021,Manuel Chavez,Santa Rosa,Barberena,0-07-333086-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,756,3585,9/8/2021,Raquel Salazar,Suchitepequez,San Antonio Suchitepequez,1-64585-630-5
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,345,6444,7/6/2021,Lucia Silva,Guatemala,Villa Nueva,1-932772-34-0
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,833,3057,4/10/2021,Diana Castro,Quetzaltenango,San Carlos Sija,1-59168-561-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,710,1274,8/4/2021,Pablo Sanchez,Guatemala,Villa Nueva,1-73057-151-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,141,6482,1/18/2021,Julio Ramirez,Huehuetenango,Colotenango,1-909989-98-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,815,1748,10/17/2021,Veronica Flores,San Marcos,San Pedro Sacatepequez,1-4887-2239-0
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,335,5085,9/17/2021,Ruth Alvarez,Retalhuleu,San Sebastian,0-13-973345-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,220,5379,8/14/2021,Luis Morales,Baja Verapaz,Cubulco,1-267-04916-2
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,795,4645,11/26/2021,Samuel Guerrero,Izabal,Puerto Barrios,1-4289-3914-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,655,771,7/3/2021,Rafael Vazquez,Santa Rosa,Cuilapa,0-86869-407-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,556,5268,10/23/2021,Arturo Soto,Jalapa,San Luis Jilotepeque,0-660-46946-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,210,5951,3/1/2021,Estela Espinoza,Chimaltenango,Chimaltenango,1-4769-3288-3
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,537,3545,6/10/2021,Adrian Espinoza,Santa Rosa,Barberena,1-315-62214-9
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,945,4779,1/15/2021,Sebastian Rojas,Baja Verapaz,Cubulco,1-111-70574-7
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,906,1919,4/27/2021,Gabriela Soto,Chimaltenango,San Martin Jilotepeque,0-9838223-3-6
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,892,7074,5/6/2021,Luz Flores,Alta Verapaz,Tucuru,0-383-60964-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,449,2485,10/12/2021,Antonio Ortiz,El Progreso,San Antonio La Paz,1-5226-8248-1
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,280,6168,9/17/2021,Ana Lopez,Totonicapan,Totonicapan,1-04-931639-8
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,453,7086,3/20/2021,Gloria Espinoza,San Marcos,San Marcos,0-9619172-8-8
