Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,770,7385,9/7/2020,Alejandro Cruz,Escuintla,Tiquisate,1-84605-028-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,463,3697,6/12/2020,Salvador Espinoza,Baja Verapaz,San Jeronimo,0-01-409804-0
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,313,1165,3/27/2020,Adriana Castillo,Guatemala,Villa Nueva,1-05-198401-7
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,885,2638,9/22/2020,Gloria Castillo,Zacapa,Gualan,1-55422-613-9
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,537,4992,7/13/2020,Miguel Ramirez,Chimaltenango,Patzun,0-351-57112-4
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,177,1812,5/19/2020,Teresa Rivera,Retalhuleu,Retalhuleu,0-7231-4775-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,102,3505,1/1/2020,Marcelo Paredes,Sacatepequez,Pastores,0-9545830-1-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,615,6999,8/9/2020,Miguel Lopez,Huehuetenango,Colotenango,1-120-16858-9
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,610,6553,3/23/2020,Simon Mendoza,Alta Verapaz,Tucuru,1-878709-67-4
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,847,5657,6/14/2020,Ana Mendoza,Baja Verapaz,Purulha,0-629-96104-2
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,341,7759,6/13/2020,Yolanda Vega,San Marcos,Sibinal,1-955097-91-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,800,2686,11/22/2020,Ines Jimenez,Peten,Flores,0-04-516880-6
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,969,6290,12/19/2020,Monica Pacheco,Quetzaltenango,Olintepeque,1-66310-491-3
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,400,5162,6/20/2020,Estela Fernandez,Peten,Sayaxche,1-81018-294-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,362,3382,5/21/2020,Hugo Rodriguez,Escuintla,Palin,0-238-90662-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,292,1466,7/25/2020,Alejandra Medina,Solola,San Juan La Laguna,0-942931-02-5
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,600,7155,11/7/2020,Patricia Gonzalez,Jutiapa,El Progreso,1-75478-037-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,935,6380,4/30/2020,Julia Lopez,El Progreso,Sanarate,1-74595-844-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,782,7381,2/22/2020,Maria Flores,Chiquimula,Chiquimula,1-382-03880-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,334,5139,12/27/2020,Fabiola Navarro,Escuintla,La Gomera,1-919841-65-2
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,335,4626,8/15/2020,Ricardo Ibarra,El Progreso,Sanarate,0-248-24992-4
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,644,3121,4/17/2020,Olga Cortes,Alta Verapaz,Tucuru,0-04-761436-6
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,835,7647,9/7/2020,Daniel Guerrero,San Marcos,San Marcos,1-4893-4455-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,217,1518,7/27/2020,Alejandra Mendoza,Peten,San Benito,0-03-977434-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,797,2585,7/12/2020,Carolina Castillo,Retalhuleu,San Sebastian,1-906160-71-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,953,6070,5/11/2020,Juan Vazquez,Izabal,Los Amates,1-4267-5911-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,751,1405,8/30/2020,Roberto Diaz,Quetzaltenango,Quetzaltenango,1-927065-64-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,934,5993,2/27/2020,Marcos Guzman,Huehuetenango,Huehuetenango,1-03-926884-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,497,1559,2/11/2020,Valeria Fernandez,San Marcos,Tejutla,0-665-14430-X
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,147,4324,10/27/2020,Margarita Cortes,Escuintla,Escuintla,1-4059-2148-X
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,306,6886,8/22/2020,Gloria Garcia,Jalapa,Jalapa,1-233-21473-X
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,237,1966,5/4/2020,Luz Gonzalez,Peten,Santa Elena,1-05-054789-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,423,553,12/25/2020,Daniel Gomez,Chiquimula,Chiquimula,0-949245-33-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,161,5785,5/27/2020,Antonio Diaz,Sacatepequez,Antigua Guatemala,0-311-09838-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,415,6223,11/5/2020,Gloria Vazquez,Peten,San Benito,0-18-526446-8
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,149,5456,6/7/2020,Miguel Fernandez,Chiquimula,San Jose La Arada,1-81497-933-6
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,493,3615,3/10/2020,angela Rodriguez,Jalapa,San Luis Jilotepeque,0-05-979704-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,837,3401,4/14/2020,Cristian Morales,San Marcos,Sibinal,1-62042-387-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,416,7019,8/2/2020,Pedro Romero,Retalhuleu,Nuevo San Carlos,1-78205-009-4
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,676,4248,10/11/2020,Jorge Vazquez,Suchitepequez,Mazatenango,1-71578-534-7
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,834,7457,1/8/2020,Rosario Campos,Retalhuleu,Champerico,1-199-75248-7
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,337,4839,7/31/2020,Samuel Paredes,Peten,Santa Elena,0-7158-7804-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,389,3995,3/26/2020,Sebastian Vega,Peten,Poptun,1-328-08024-2
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,492,3633,8/18/2020,Carmen Gomez,Chiquimula,Concepcion Las Minas,1-4940-4360-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,883,2294,6/19/2020,Alejandra Medina,Santa Rosa,Oratorio,1-63936-607-5
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,180,3869,8/14/2020,Margarita Romero,Quetzaltenango,Olintepeque,1-311-99220-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,548,591,6/17/2020,Carolina Alvarez,San Marcos,Sibinal,1-910634-13-1
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,246,4112,6/23/2020,Salvador Garcia,Alta Verapaz,San Cristabal Verapaz,0-7206-1505-4
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,768,2783,7/15/2020,angela Castro,Izabal,Puerto Barrios,1-03-620071-X
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,580,6779,6/2/2020,Ramon Castillo,Sacatepequez,Ciudad Vieja,1-70914-813-6
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,493,7845,4/29/2020,Fernando Leon,Peten,Sayaxche,0-7548-6129-5
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,188,3149,3/11/2020,Emilio Jimenez,Peten,Poptun,0-14-653774-2
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,157,6449,1/21/2020,Diana Rivera,Quetzaltenango,San Carlos Sija,1-167-99500-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,284,6527,9/27/2020,Luisa Vega,El Progreso,Sanarate,1-144-13148-0
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,816,2253,7/1/2020,Gabriela Rivera,Izabal,Los Amates,0-946329-47-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,418,4111,11/30/2020,Alfredo Guerrero,Huehuetenango,San Pedro Necta,0-9741862-5-2
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,151,7887,11/9/2020,Roberto Espinoza,Zacapa,Gualan,0-411-14022-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,644,726,5/10/2020,Adrian Ramos,Peten,Santa Elena,0-224-57990-8
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,711,4344,12/20/2020,Teresa Perez,Sacatepequez,Sumpango,0-378-50095-3
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,401,7706,9/7/2020,Eduardo Chavez,Suchitepequez,San Antonio Suchitepequez,1-60371-302-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,378,7719,7/16/2020,Raquel Castro,San Marcos,San Pedro Sacatepequez,0-298-59025-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,431,4867,5/30/2020,Margarita Silva,Quiche,Chichicastenango,0-293-35861-3
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,594,6313,10/11/2020,Margarita Chavez,Solola,Panajachel,1-250-17025-7
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,425,647,5/6/2020,Lucia Leon,Santa Rosa,San Juan Tecuaco,1-82827-794-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,166,1264,11/27/2020,Gabriela Silva,Baja Verapaz,Salama,0-88989-091-9
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,892,2323,9/26/2020,Raul Perez,Santa Rosa,Santa Maria Ixhuatan,1-969434-85-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,213,4105,12/31/2020,Alonso Martinez,Quetzaltenango,Olintepeque,1-56890-695-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,371,6814,4/9/2020,Lorena Flores,Retalhuleu,San Sebastian,0-264-49602-7
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,935,6597,8/10/2020,Beatriz Guerrero,Chimaltenango,Comalapa,0-7283-7562-1
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,377,2051,12/8/2020,Alonso Castro,Peten,San Benito,0-275-08218-0
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,409,4563,10/4/2020,Monica Ortiz,Chimaltenango,Patzun,0-219-74921-3
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,801,6383,6/4/2020,Luisa Ramos,Escuintla,Escuintla,0-622-78664-4
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,733,3205,9/14/2020,Simon Fernandez,Quiche,Santo Tomas Chichicastenango,1-56881-073-3
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,592,3201,3/4/2020,Emilio Romero,Huehuetenango,Huehuetenango,0-308-17381-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,933,575,4/20/2020,Lucia Aguilar,Quiche,Nebaj,1-357-96335-1
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,523,5418,7/17/2020,Francisco Romero,Quiche,Santo Tomas Chichicastenango,1-916227-48-1
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,996,3276,10/3/2020,Francisco Castro,Escuintla,Escuintla,1-969233-21-4
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,899,7846,12/24/2020,Elena Morales,Jalapa,Monjas,1-84760-240-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,462,3836,4/25/2020,Mirta Flores,San Marcos,Sibinal,1-64937-162-4
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,477,2642,1/10/2020,Gabriela Castro,Totonicapan,San Cristobal Totonicapan,1-224-82754-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,826,3848,4/26/2020,Esteban Vazquez,Zacapa,Zacapa,0-8471-6724-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,778,4870,9/23/2020,Martin Vega,Escuintla,Palin,1-71430-438-8
