Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,882,4601,11/19/2022,Alejandro Flores,Jutiapa,Asuncion Mita,0-473-07202-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,594,631,6/17/2022,Rosario Paredes,Quiche,Santa Cruz del Quiche,1-79813-043-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,546,596,9/27/2022,Fabiola Medina,Baja Verapaz,Cubulco,0-15-915562-2
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,542,1651,6/5/2022,Mariana Jimenez,Solola,San Pedro La Laguna,0-396-78277-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,690,2249,5/27/2022,Oscar Ramos,Chiquimula,San Jose La Arada,1-82592-782-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,416,2130,8/1/2022,Isabel Navarro,Jalapa,Mataquescuintla,1-57314-886-5
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,655,6301,3/26/2022,Jose Acosta,Guatemala,Mixco,1-388-26286-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,194,1958,9/5/2022,Francisco Paredes,Suchitepequez,San Bernardino,1-906112-59-2
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,381,6732,3/10/2022,Esperanza Gonzalez,Jalapa,Mataquescuintla,0-87050-855-5
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,704,2844,5/30/2022,Ismael Gomez,Chiquimula,San Jose La Arada,0-470-58861-6
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,335,4257,12/25/2022,Ines Cortes,Jutiapa,Jutiapa,1-70990-289-2
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,847,4733,4/14/2022,Francisco Reyes,Sacatepequez,Sumpango,0-554-68400-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,488,4192,5/31/2022,Teresa Fernandez,Peten,Flores,1-341-92367-3
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,352,7069,2/7/2022,Carmen Morales,Retalhuleu,San Sebastian,1-301-00943-1
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,869,4757,11/24/2022,Josefa Rodriguez,San Marcos,Tejutla,1-295-60405-1
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,670,6275,4/14/2022,Esperanza Navarro,Quiche,Santo Tomas Chichicastenango,0-467-74365-7
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,475,4181,7/22/2022,Alonso Lopez,El Progreso,Guastatoya,0-614-31941-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,942,4682,4/11/2022,Laura Sanchez,Guatemala,San Miguel Petapa,1-79743-540-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,541,1295,1/6/2022,Claudia Cruz,San Marcos,Tejutla,0-12-890264-7
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,390,3133,8/23/2022,Carolina Torres,Chiquimula,Concepcion Las Minas,0-496-26779-5
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,554,7146,1/7/2022,Olga Diaz,Chimaltenango,Comalapa,1-122-21732-3
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,893,1523,5/31/2022,Susana Ramos,Sacatepequez,Sumpango,1-02-493035-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,416,1502,2/11/2022,Andrea Cabrera,Suchitepequez,Mazatenango,1-61902-896-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,996,1825,6/25/2022,Daniel Cruz,Guatemala,Santa Catarina Pinula,0-88489-427-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,748,7606,2/24/2022,Claudia Hernandez,Chiquimula,Chiquimula,0-583-30299-8
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,364,4328,6/30/2022,Vicente Acosta,Sacatepequez,Pastores,1-57594-307-7
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,616,7928,6/29/2022,Oscar Alvarez,Chimaltenango,San Martin Jilotepeque,0-01-494319-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,895,6127,11/18/2022,Silvia Acosta,Huehuetenango,San Pedro Necta,0-204-56215-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,513,7313,3/14/2022,Ricardo Perez,Suchitepequez,Patulul,1-882480-43-0
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,953,2122,11/2/2022,Vicente Paredes,Escuintla,La Gomera,1-84409-970-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,543,4661,11/12/2022,Fabiola Guzman,Peten,Flores,0-562-10596-4
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,732,2664,5/15/2022,Pablo Reyes,Totonicapan,San Bartolo,0-8077-9667-0
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,123,1390,2/23/2022,Silvia Diaz,Quiche,Chichicastenango,0-9762461-5-5
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,359,2200,8/21/2022,Carmen Cabrera,Jutiapa,Jutiapa,0-14-803383-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,363,7038,4/6/2022,Gloria Ramirez,Santa Rosa,Barberena,0-88167-470-2
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,395,4710,5/22/2022,Silvia Sanchez,Jalapa,San Luis Jilotepeque,0-696-95941-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,632,5219,3/13/2022,Jose Gomez,Jalapa,Monjas,0-9930298-1-7
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,595,7513,4/25/2022,Ana Velasquez,Zacapa,Zacapa,1-4437-9427-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,231,7381,10/1/2022,Cristian Castro,Peten,Poptun,1-08-673710-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,415,3453,11/14/2022,Susana Hernandez,Jutiapa,El Progreso,1-146-15239-6
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,629,7744,5/29/2022,Sandra Diaz,Jutiapa,Santa Catarina Mita,0-18-500426-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,554,6464,4/24/2022,Mariana Leon,Retalhuleu,Retalhuleu,1-4742-2641-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,585,1590,2/18/2022,Lucia Perez,Totonicapan,San Bartolo,0-200-89127-8
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,649,5640,1/29/2022,Adriana Morales,Solola,San Pedro La Laguna,0-11-881591-1
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,658,4493,2/7/2022,Cristian Reyes,Chiquimula,San Jose La Arada,0-85055-919-7
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,504,2244,7/10/2022,Raquel Cortes,Sacatepequez,Antigua Guatemala,0-471-18924-3
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,663,3458,1/6/2022,Diana Ortiz,Guatemala,Santa Catarina Pinula,0-235-54835-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,482,6332,10/16/2022,Andrea Romero,Escuintla,Palin,1-64900-785-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,339,510,6/13/2022,Laura Ponce,Zacapa,Gualan,0-910414-15-7
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,719,1423,2/24/2022,Ernesto Salazar,Baja Verapaz,Cubulco,1-72079-496-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,380,5107,9/2/2022,Ignacio Torres,Guatemala,San Miguel Petapa,0-495-96905-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,250,4109,6/28/2022,Olga Velasquez,El Progreso,Guastatoya,0-12-527480-7
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,982,3301,9/30/2022,Oscar Diaz,Peten,Santa Elena,1-250-73967-5
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,577,6989,2/26/2022,Eduardo Paredes,Chimaltenango,Comalapa,1-86976-338-6
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,150,5681,9/14/2022,Ignacio Morales,El Progreso,San Agustin Acasaguastlan,1-4183-0845-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,457,7786,1/13/2022,Adrian Guerrero,Chiquimula,San Jose La Arada,1-900575-50-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,590,7125,2/25/2022,Jorge Medina,Suchitepequez,San Antonio Suchitepequez,1-82586-259-1
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,662,3600,9/4/2022,Martin Ortiz,Baja Verapaz,Salama,1-209-25084-5
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,213,3173,1/7/2022,Patricia Garcia,Quiche,Santa Cruz del Quiche,0-907505-60-0
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,612,7918,6/17/2022,Rosario Gomez,Retalhuleu,Champerico,0-03-065745-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,227,4067,1/2/2022,Gabriel Fernandez,Totonicapan,Totonicapan,1-9765-7665-2
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,602,2793,3/14/2022,Sofia Cortes,Solola,Solola,0-391-59967-4
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,132,4029,4/2/2022,Luz Campos,Totonicapan,Momostenango,0-87129-308-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,974,5291,1/25/2022,Ricardo Guzman,Peten,Poptun,1-178-07591-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,790,4301,7/14/2022,Oscar Medina,Peten,Santa Elena,0-8154-6349-9
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,245,6655,5/4/2022,Simon Leon,Chimaltenango,Chimaltenango,1-72256-350-8
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,422,1845,5/14/2022,Monica Jimenez,Chimaltenango,San Martin Jilotepeque,0-7940-7170-8
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,423,4336,6/14/2022,Carmen Gonzalez,Chimaltenango,San Martin Jilotepeque,0-8344-9217-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,698,5303,3/30/2022,Laura Castro,Chiquimula,Concepcion Las Minas,1-58802-483-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,133,7872,12/2/2022,Daniel Ortiz,Sacatepequez,Ciudad Vieja,0-02-285144-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,499,6589,3/17/2022,Carlos Chavez,Retalhuleu,Nuevo San Carlos,1-237-86581-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,196,5667,10/18/2022,Marcos Castro,Chimaltenango,San Martin Jilotepeque,0-674-28386-4
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,437,755,5/27/2022,Sergio Morales,Totonicapan,San Bartolo,1-58131-736-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,431,2317,3/14/2022,Cristian Gomez,Quiche,Chichicastenango,1-901615-74-X
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,106,6375,8/17/2022,Fernando Rojas,Baja Verapaz,Purulha,1-967966-27-3
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,582,6996,7/13/2022,Teresa Ortiz,Jalapa,Monjas,1-60562-004-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,667,5074,11/17/2022,Ramon Rodriguez,Jalapa,San Pedro Pinula,1-133-56563-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,226,5644,12/13/2022,Sandra Perez,Chiquimula,Camotan,0-15-104939-4
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,905,2487,7/2/2022,Adrian Cruz,San Marcos,Sibinal,1-4584-1452-3
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,117,1857,2/22/2022,Manuel Leon,Jutiapa,Jutiapa,1-03-553465-7
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,957,3758,8/17/2022,Pablo Rivera,El Progreso,San Antonio La Paz,0-12-325544-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,792,7362,3/2/2022,Isabel Romero,Quetzaltenango,Quetzaltenango,1-221-55032-2
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,193,6423,1/8/2022,Alejandro Reyes,Alta Verapaz,Tactic,0-00-677499-7
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,106,4985,8/27/2022,Vicente Espinoza,Peten,Santa Elena,1-74917-895-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,449,2651,6/23/2022,Fernando Garcia,Baja Verapaz,San Jeronimo,1-874122-97-0
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,713,6247,3/19/2022,Antonio Leon,Quiche,Santa Cruz del Quiche,1-925075-45-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,486,6016,5/24/2022,Gustavo Silva,Chiquimula,San Jose La Arada,1-331-58199-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,909,6752,6/1/2022,Claudia Ibarra,Izabal,Los Amates,0-545-28354-X
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,148,7507,4/13/2022,Marcelo Ramos,Quiche,Nebaj,0-8106-7741-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,802,1082,3/21/2022,Ismael Gonzalez,Santa Rosa,Oratorio,1-893419-59-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,743,7023,7/20/2022,Ernesto Castillo,Escuintla,Tiquisate,0-9956100-2-9
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,223,3044,8/25/2022,Martin Navarro,Chiquimula,Esquipulas,1-293-45208-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,470,5863,1/6/2022,Fabiola Guerrero,Suchitepequez,Patulul,1-5086-4944-8
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,206,7659,5/20/2022,Rosario Castro,Peten,Poptun,1-4906-1376-5
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,395,2026,7/24/2022,Gabriel Pacheco,Alta Verapaz,Tucuru,0-04-813560-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,878,4437,1/1/2022,Carlos Reyes,Totonicapan,Totonicapan,0-7139-2615-5
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,790,6876,5/5/2022,Monica Guerrero,Jalapa,Jalapa,1-76210-520-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,570,3845,5/3/2022,Josefa Jimenez,Guatemala,Guatemala City,1-67387-851-2
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,907,529,6/29/2022,Antonio Vargas,Huehuetenango,Colotenango,1-72652-681-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,283,758,5/31/2022,Emilio Romero,Huehuetenango,San Pedro Necta,1-350-25941-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,862,5060,6/11/2022,Gloria Silva,Quetzaltenango,Olintepeque,1-57701-060-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,554,7986,3/5/2022,Carlos Silva,Quiche,Santa Cruz del Quiche,1-285-99671-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,361,6881,5/13/2022,Arturo Gomez,Totonicapan,San Andres Xecul,0-694-44628-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,749,6972,7/5/2022,Javier Garcia,Peten,Poptun,0-7001-4256-8
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,103,1125,4/28/2022,Lorena Salazar,Suchitepequez,San Bernardino,1-332-94552-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,835,4193,5/31/2022,Luz Chavez,El Progreso,San Agustin Acasaguastlan,0-343-24963-4
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,336,1787,6/12/2022,Ana Campos,Peten,Sayaxche,0-88855-034-0
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,345,5473,7/1/2022,Arturo Cruz,Alta Verapaz,Tucuru,1-922929-76-X
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,145,4222,4/2/2022,Luisa Ortiz,Chimaltenango,San Martin Jilotepeque,1-9761-6188-6
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,114,4644,4/23/2022,Oscar Cortes,Quiche,Nebaj,0-7465-0591-4
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,256,643,2/19/2022,Alejandra Martinez,Quetzaltenango,Cantel,1-4401-5698-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,832,4287,4/17/2022,Isabel Salazar,Zacapa,Teculutan,1-398-64205-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,835,7339,4/20/2022,Tomas Leon,Jutiapa,Agua Blanca,1-238-15512-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,868,6497,2/5/2022,Ismael Gomez,Zacapa,Zacapa,0-7687-9182-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,283,7645,4/18/2022,Francisco Rivera,Peten,Poptun,1-367-35293-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,125,1984,11/5/2022,Gustavo Rojas,San Marcos,Tejutla,1-996137-05-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,135,5537,11/29/2022,Luz Rodriguez,Izabal,Morales,0-10-592212-9
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,367,7453,7/19/2022,Salvador Rivera,Baja Verapaz,Cubulco,1-4375-5165-3
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,227,2145,1/5/2022,Cristian Campos,San Marcos,Tejutla,1-342-37660-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,399,2091,5/24/2022,Alejandro Jimenez,Jalapa,San Luis Jilotepeque,0-273-89801-9
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,880,3783,4/30/2022,Esperanza Jimenez,Sacatepequez,Antigua Guatemala,0-401-21444-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,856,5923,4/1/2022,Gabriela Campos,Baja Verapaz,Salama,1-187-01408-7
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,888,7294,1/1/2022,Fernando Ramos,Sacatepequez,Pastores,1-85620-482-0
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,688,6856,4/14/2022,Marcela Cruz,Huehuetenango,Colotenango,1-988342-64-3
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,542,3290,5/1/2022,Patricia Gomez,Alta Verapaz,Coban,1-70445-157-4
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,292,1787,2/4/2022,Gustavo Navarro,Huehuetenango,San Juan Atitan,0-926670-79-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,652,3882,9/4/2022,Patricia Gonzalez,Zacapa,Gualan,1-232-62389-X
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,117,7026,7/23/2022,Veronica Rivera,Zacapa,Teculutan,0-01-356172-3
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,405,1887,3/7/2022,Diego Medina,Totonicapan,San Bartolo,0-277-41872-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,242,601,11/12/2022,Jorge Leon,Chiquimula,Esquipulas,1-04-248256-X
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,630,3148,4/6/2022,Arturo Leon,Huehuetenango,San Pedro Necta,1-316-44831-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,465,5776,1/25/2022,Josefa Rodriguez,Totonicapan,San Bartolo,1-291-31780-5
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,928,5197,4/26/2022,Diana Romero,San Marcos,San Pedro Sacatepequez,0-562-33232-4
