Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,357,7985,1/1/2024,Teresa Paredes,Sacatepequez,Antigua Guatemala,1-874381-58-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,444,5085,3/7/2024,Rosario Ortiz,Baja Verapaz,San Jeronimo,1-937513-36-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,794,7173,6/14/2024,Estela Romero,Alta Verapaz,Coban,1-154-38404-7
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,203,3297,3/8/2024,Ignacio Salazar,Escuintla,Santa Lucia Cotzumalguapa,1-02-910716-5
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,754,6310,2/21/2024,Mirta Chavez,El Progreso,Morazan,0-9707577-7-8
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,680,4016,3/14/2024,Samuel Rojas,Jalapa,Jalapa,1-77963-570-2
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,333,3426,4/3/2024,Alejandra Velasquez,Totonicapan,San Andres Xecul,0-922188-91-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,157,3329,1/2/2024,Gabriel Campos,Escuintla,Santa Lucia Cotzumalguapa,0-376-89511-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,542,920,5/7/2024,Susana Ramos,Jutiapa,Asuncion Mita,0-265-86881-5
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,489,4967,9/12/2024,Valeria Diaz,Zacapa,Gualan,0-255-67821-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,851,7530,7/30/2024,Andrea Salazar,Quetzaltenango,San Carlos Sija,0-337-55625-3
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,811,4239,8/16/2024,Enrique Leon,Chimaltenango,Patzun,0-7482-1902-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,955,4780,8/1/2024,Alfredo Gonzalez,Chiquimula,San Jose La Arada,0-7686-7952-4
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,163,1067,6/6/2024,Salvador Alvarez,Retalhuleu,Nuevo San Carlos,0-07-574013-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,932,7907,5/18/2024,Sandra Cabrera,Totonicapan,San Bartolo,1-73057-459-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,669,1084,3/14/2024,Silvia Leon,Baja Verapaz,Rabinal,0-17-282915-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,142,1795,9/18/2024,Luis Castro,Huehuetenango,Huehuetenango,1-947283-01-4
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,471,3771,9/14/2024,Roberto Martinez,Izabal,El Estor,0-445-66195-X
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,681,7824,4/21/2024,Monica Romero,Izabal,Puerto Barrios,0-379-88656-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,197,4022,4/15/2024,Adrian Gonzalez,Huehuetenango,San Pedro Necta,0-924374-22-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,700,4225,9/4/2024,Alonso Hernandez,Alta Verapaz,Coban,0-596-54699-8
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,318,7712,7/11/2024,Ricardo Torres,El Progreso,Morazan,0-511-26863-7
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,321,3280,6/2/2024,Isabel Ortiz,Jutiapa,El Progreso,1-5272-5053-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,538,6154,3/8/2024,Oscar Vega,Jalapa,Monjas,0-87522-613-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,709,6351,8/5/2024,Olga Gomez,Izabal,Morales,1-05-145248-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,788,5110,3/11/2024,Daniel Sanchez,Retalhuleu,San Felipe,0-15-593570-4
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,721,1445,9/14/2024,Ana Gonzalez,Quetzaltenango,Quetzaltenango,0-302-85684-6
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,416,6304,5/22/2024,Alejandro Gonzalez,Jalapa,Monjas,1-72140-095-8
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,710,3447,5/27/2024,Adrian Romero,San Marcos,San Marcos,0-609-22034-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,685,7991,4/3/2024,Antonio Alvarez,Suchitepequez,San Bernardino,0-454-14902-6
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,473,3567,7/23/2024,Mirta Chavez,Santa Rosa,San Juan Tecuaco,1-179-69803-7
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,368,6426,1/5/2024,Oscar Rodriguez,Escuintla,Santa Lucia Cotzumalguapa,0-7996-1710-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,857,2177,2/10/2024,Cristian Vega,Retalhuleu,Nuevo San Carlos,1-80894-690-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,929,4626,8/29/2024,Luis Vargas,Jalapa,San Pedro Pinula,1-136-71593-2
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,989,5762,4/29/2024,Alonso Flores,Quiche,Santa Cruz del Quiche,0-09-632670-0
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,696,1454,8/10/2024,Lucia Romero,Chimaltenango,Comalapa,1-80451-896-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,748,775,6/13/2024,Martin Molina,Chimaltenango,Patzun,1-68076-665-1
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,653,1297,1/4/2024,Valeria Reyes,Escuintla,Palin,0-7912-2300-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,337,4491,2/5/2024,Alejandra Campos,Zacapa,Zacapa,0-479-08004-6
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,679,1000,8/8/2024,Luisa Romero,Peten,Santa Elena,0-17-170951-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,797,6640,7/21/2024,Cecilia Diaz,Baja Verapaz,San Jeronimo,1-908939-17-6
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,978,7955,3/30/2024,Alejandra Alvarez,Guatemala,Villa Nueva,1-104-37056-5
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,108,6475,2/23/2024,Veronica Cortes,Chimaltenango,Patzun,1-76284-742-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,867,6548,6/10/2024,Laura Reyes,Huehuetenango,San Pedro Necta,1-64320-195-6
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,790,2692,3/2/2024,Luz Martinez,Suchitepequez,Patulul,0-8275-3334-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,841,6434,2/25/2024,Pilar Castro,Totonicapan,Totonicapan,0-324-67633-6
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,720,6872,8/21/2024,Cecilia Velasquez,Suchitepequez,Mazatenango,1-00-548504-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,833,5139,1/24/2024,Ricardo Ibarra,Izabal,El Estor,0-7418-1254-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,965,1014,6/19/2024,Julia Campos,Peten,Sayaxche,1-925135-40-3
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,970,7991,2/12/2024,Ernesto Lopez,Peten,Poptun,0-89835-315-7
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,529,4503,4/21/2024,Julia Ponce,Huehuetenango,Huehuetenango,1-74869-292-5
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,620,691,3/9/2024,Jorge Cabrera,Alta Verapaz,Tactic,1-997939-80-0
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,593,2061,2/2/2024,Susana Rojas,Zacapa,Gualan,1-84856-338-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,717,1465,8/7/2024,Jose Torres,Solola,San Juan La Laguna,1-963115-11-2
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,530,1931,1/14/2024,Isabel Hernandez,Alta Verapaz,Santa Cruz Verapaz,1-5177-2531-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,239,6679,7/28/2024,Olga Cruz,El Progreso,Sanarate,0-605-78440-X
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,176,5099,2/15/2024,Elena Ramos,Baja Verapaz,Rabinal,1-72396-295-3
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,219,7541,5/23/2024,Arturo Castillo,Jalapa,San Pedro Pinula,1-282-40235-8
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,862,6487,2/19/2024,Susana Ortiz,Quiche,Santa Cruz del Quiche,1-64760-720-5
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,770,7171,6/9/2024,Samuel Medina,Guatemala,Villa Nueva,1-198-13564-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,745,2973,6/15/2024,Diana Gonzalez,Solola,Panajachel,0-9841378-2-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,707,6504,7/15/2024,Raul Medina,Baja Verapaz,Purulha,1-893115-01-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,230,7794,4/14/2024,Paola Torres,Totonicapan,Momostenango,0-289-85186-6
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,159,7160,1/8/2024,Maria Paredes,Retalhuleu,Nuevo San Carlos,0-554-28738-2
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,957,1997,8/6/2024,Margarita Cortes,Escuintla,Tiquisate,0-687-53714-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,365,543,3/23/2024,Teresa Ramos,Chiquimula,Camotan,0-05-855011-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,799,3343,4/16/2024,Adrian Silva,Chimaltenango,Tecpan Guatemala,0-918245-85-0
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,655,1813,3/1/2024,Silvia Cortes,Suchitepequez,Patulul,1-4668-2598-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,313,2453,2/1/2024,Felipe Gonzalez,Zacapa,Teculutan,0-05-349959-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,464,7083,4/12/2024,Sebastian Ibarra,Chiquimula,San Jose La Arada,1-4272-8241-2
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,236,5055,4/4/2024,Marcelo Paredes,Peten,Poptun,0-85688-411-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,556,2315,8/9/2024,Carmen Lopez,Escuintla,Palin,1-79100-869-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,727,7806,8/23/2024,Carolina Hernandez,Jutiapa,Jutiapa,0-7115-4205-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,200,5331,5/5/2024,Samuel Rojas,Jalapa,Mataquescuintla,0-302-52800-8
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,892,1493,9/7/2024,Antonio Campos,Suchitepequez,Mazatenango,0-221-95824-X
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,425,691,3/3/2024,Roberto Flores,Zacapa,La Union,0-305-60105-9
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,836,5976,6/12/2024,Daniel Ibarra,Suchitepequez,San Bernardino,0-10-162926-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,380,2138,3/24/2024,Carolina Soto,Alta Verapaz,Coban,0-291-87089-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,577,7301,3/7/2024,Claudia Acosta,Totonicapan,San Cristobal Totonicapan,1-360-86490-3
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,891,7391,2/13/2024,Enrique Ortiz,Peten,Sayaxche,0-387-30243-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,101,1853,7/3/2024,Carlos Mendoza,Jutiapa,Asuncion Mita,1-318-21467-X
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,666,6695,7/26/2024,Estela Navarro,Huehuetenango,La Democracia,0-311-94744-1
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,861,6349,1/12/2024,Mario Torres,Izabal,El Estor,0-933542-40-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,312,4144,5/4/2024,Pilar Guzman,Chimaltenango,Patzun,0-946530-53-X
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,803,6677,4/14/2024,Marcelo Medina,Solola,San Juan La Laguna,1-214-62336-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,834,3120,3/15/2024,Daniel Guzman,Totonicapan,San Cristobal Totonicapan,1-124-92171-0
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,870,7901,2/5/2024,Diego Flores,Escuintla,Santa Lucia Cotzumalguapa,1-4511-3651-X
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,155,1237,4/3/2024,Jose Medina,Retalhuleu,San Sebastian,1-102-05569-7
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,144,2560,3/25/2024,Miguel Ponce,Huehuetenango,San Pedro Necta,1-4271-6115-1
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,531,7313,5/2/2024,Adrian Vega,Alta Verapaz,Tactic,1-85386-576-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,339,710,1/27/2024,Daniel Rojas,San Marcos,Sibinal,0-930977-99-8
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,467,5319,1/29/2024,Gustavo Martinez,Alta Verapaz,Santa Cruz Verapaz,0-475-82291-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,940,3392,7/5/2024,Eduardo Gonzalez,Alta Verapaz,Tucuru,0-00-383685-1
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,975,5617,1/6/2024,Arturo Diaz,Escuintla,Escuintla,0-19-809915-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,411,1561,8/11/2024,Rosario Mendoza,Solola,San Juan La Laguna,0-13-673314-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,386,6200,4/14/2024,Oscar Ponce,Huehuetenango,Huehuetenango,1-79779-556-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,939,4789,3/29/2024,Ruth Guerrero,San Marcos,San Marcos,0-7416-1403-0
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,603,2136,6/1/2024,Manuel Alvarez,Peten,Santa Elena,0-9950019-6-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,329,2024,4/24/2024,Francisco Rodriguez,Escuintla,Tiquisate,0-15-858211-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,855,4856,8/7/2024,Ines Molina,Chimaltenango,San Martin Jilotepeque,0-616-73550-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,351,7782,2/21/2024,Arturo Torres,Escuintla,Palin,1-307-52861-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,979,2767,9/4/2024,Cristian Chavez,Chiquimula,Camotan,1-294-90539-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,371,2291,8/3/2024,Felipe Cruz,Retalhuleu,San Sebastian,1-311-39294-7
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,804,4818,7/11/2024,Alonso Romero,Chiquimula,Chiquimula,0-87012-901-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,881,2245,3/11/2024,Arturo Mendoza,Escuintla,Santa Lucia Cotzumalguapa,1-09-446018-4
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,405,3138,8/18/2024,Veronica Flores,Baja Verapaz,San Jeronimo,0-350-30709-1
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,541,7624,4/5/2024,Adriana Ponce,El Progreso,San Agustin Acasaguastlan,1-874164-58-4
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,291,6886,3/2/2024,Margarita Ibarra,Quetzaltenango,Quetzaltenango,0-555-14190-X
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,170,3956,4/28/2024,Samuel Perez,Zacapa,Gualan,0-447-67745-4
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,283,2565,7/9/2024,Silvia Morales,Quiche,Santa Cruz del Quiche,0-01-134288-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,570,2952,5/24/2024,angela Ponce,Zacapa,Teculutan,1-940066-98-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,351,1029,2/8/2024,Daniel Paredes,Peten,Poptun,1-62147-913-7
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,515,2215,8/9/2024,Patricia Hernandez,Quetzaltenango,San Carlos Sija,1-202-43796-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,523,2669,9/11/2024,Olga Sanchez,Zacapa,Gualan,0-365-25691-9
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,666,2236,7/31/2024,Luz Ortiz,Alta Verapaz,San Cristabal Verapaz,0-9851662-2-3
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,329,7088,4/16/2024,Luisa Campos,Quiche,Santa Cruz del Quiche,1-71839-322-9
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,305,4075,6/5/2024,Pilar Espinoza,Guatemala,Guatemala City,0-7681-7088-5
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,827,7883,5/30/2024,Manuel Ortiz,El Progreso,San Agustin Acasaguastlan,0-279-61729-1
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,197,5387,8/8/2024,Adriana Ramirez,Quiche,Santo Tomas Chichicastenango,1-922576-06-9
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,183,1905,4/27/2024,Alejandro Lopez,Baja Verapaz,Cubulco,0-676-04029-2
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,282,4741,3/29/2024,Lorena Molina,Retalhuleu,San Felipe,1-4619-0320-3
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,282,4266,6/22/2024,Laura Ortiz,Quiche,Uspantan,0-8170-5078-7
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,932,3526,2/6/2024,Laura Garcia,Solola,Solola,1-64079-608-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,852,3954,4/4/2024,Aurora Sanchez,Guatemala,San Miguel Petapa,1-910237-52-3
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,350,4867,5/19/2024,Silvia Gomez,Suchitepequez,San Antonio Suchitepequez,0-633-52957-5
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,884,7285,3/22/2024,Maria Torres,Chimaltenango,Tecpan Guatemala,0-310-76197-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,367,3595,6/4/2024,Susana Ortiz,Quiche,Santa Cruz del Quiche,0-340-19391-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,253,1526,6/9/2024,Ana Castro,Escuintla,Palin,1-304-09330-1
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,114,6580,1/8/2024,Beatriz Ponce,Santa Rosa,Cuilapa,0-7549-7097-3
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,426,6835,5/24/2024,angela Ortiz,Peten,San Benito,0-7981-2089-4
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,548,1433,6/1/2024,Silvia Soto,Huehuetenango,San Pedro Necta,1-903995-93-0
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,923,1832,2/8/2024,Luis Reyes,Solola,Panajachel,0-478-35057-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,328,7066,7/13/2024,Eduardo Martinez,Santa Rosa,Cuilapa,1-63976-510-7
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,368,6241,1/2/2024,Diego Martinez,Suchitepequez,San Antonio Suchitepequez,1-192-84166-2
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,437,980,4/20/2024,Susana Castro,Guatemala,Santa Catarina Pinula,1-391-60818-6
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,327,2684,5/7/2024,Sergio Cabrera,Solola,San Pedro La Laguna,0-533-47309-8
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,553,1679,4/6/2024,Juan Vazquez,Escuintla,Escuintla,1-02-345351-7
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,125,791,8/1/2024,Alfredo Castro,El Progreso,Guastatoya,0-87317-943-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,189,7428,9/5/2024,Olga Mendoza,Zacapa,Zacapa,0-9588706-7-5
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,489,2188,4/22/2024,Lucia Campos,Sacatepequez,Sumpango,0-359-04875-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,147,2558,8/30/2024,Juana Cabrera,Baja Verapaz,San Jeronimo,1-955941-66-1
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,737,5067,1/9/2024,Veronica Jimenez,Alta Verapaz,San Cristabal Verapaz,0-535-88488-5
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,908,6052,3/25/2024,Estela Lopez,Solola,San Lucas Toliman,1-947588-17-6
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,784,3461,5/8/2024,Vicente Navarro,San Marcos,Concepcion Tutuapa,0-904637-91-3
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,398,7546,5/28/2024,Raul Fernandez,Guatemala,San Miguel Petapa,1-5466-0806-0
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,258,4195,8/27/2024,Lorena Romero,Quiche,Santa Cruz del Quiche,1-76182-884-3
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,587,5236,1/24/2024,Marcelo Paredes,Chiquimula,Chiquimula,1-178-90980-8
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,633,5583,4/9/2024,Miguel Perez,Peten,Poptun,1-277-84528-X
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,233,2853,1/9/2024,Ruth Guzman,Jutiapa,Agua Blanca,1-5355-2592-4
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,445,6996,9/1/2024,Fabiola Medina,Retalhuleu,San Sebastian,0-16-697533-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,379,865,1/19/2024,Mario Silva,Solola,San Lucas Toliman,0-14-680277-2
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,408,5435,2/3/2024,Alonso Aguilar,Guatemala,Guatemala City,0-7057-9078-9
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,202,774,5/30/2024,Ruth Lopez,Chimaltenango,Patzun,0-14-864958-0
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,327,3883,5/25/2024,Sergio Sanchez,Suchitepequez,San Antonio Suchitepequez,0-7402-0869-1
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,461,1291,9/5/2024,Veronica Rivera,Solola,San Pedro La Laguna,1-70104-393-9
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,461,849,3/31/2024,Luisa Martinez,Izabal,Los Amates,0-401-00202-0
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,615,1481,5/8/2024,Ernesto Cruz,Alta Verapaz,San Cristabal Verapaz,1-59398-294-1
